Ⅱ．景気の先行きに対する判断理由,,,,
,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,
,,,,
,,,,
　１．北海道,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北海道)",,◎,－,－
,,○,スーパー（企画担当）,・来客数が依然増加しており、売上も回復してきている。
,,○,旅行代理店（従業員）,・先行受注が少し良くなっている。
,,○,旅行代理店（従業員）,・前年はＹ２Ｋ問題で人の動きが減少したが、今年はその反動が出る。
,,○,美容室（経営者）,・来客数が増加しており、消費が活発化してきている。
,,□,商店街（代表者）,・販促を仕掛けても、客の反応が鈍く、プラス要因となる材料がない。
,,□,商店街（代表者）,・本来なら季節商材も動き出し、12月は特に期待できる月だが、今年は期待外れのようである｡客単価の低下も気になる。
,,□,衣料品専門店（店長）,・まとめ買いが少なく、低価格商品が中心で、売上の柱となる商品が停滞している。
,,□,家電量販店（店員）,・まとめ買いをする客が少なく、ＢＳデジタルテレビ、ビデオの売上も期待どおりではない。
,,□,住関連専門店（統括）,・広告やチラシのメモを見ながら買物をする客が多い。
,,□,スナック（経営者）,・年間を通して一番忙しい時期だが、先行きへの不安が強く、個人客があまり利用しない傾向がみられており、全体として変わらない。
,,□,その他飲食［酒卸］（店長）,・例年になく、先の見通しが読めず、忘年会シーズンを考えると悲観的な結論を出さざるを得ない。
,,□,旅行代理店（従業員）,・先行受注の状況をみると、今後良くなる傾向は出ていない。
,,□,タクシー運転手,・昼夜を問わず人の動き、客との会話からしても、急速に景気が回復するとの材料は見当たらない。
,,□,住宅販売会社（従業員）,・景気が先行き不透明のため､客の決断が鈍って意志決定が遅くなっている。
,,▲,商店街（代表者）,・バーゲンの前倒しで､年末のバーゲンが盛り上がらない。
,,▲,商店街（代表者）,・大型店進出と来月の増床オープンによる影響が大きい。
,,▲,百貨店（売場主任）,・そごう札幌店閉店の影響が出る。
,,▲,スーパー（企画担当）,・大店法下での駆け込み出店が本格化するなかで、資金繰りのための乱売合戦に拍車がかかってきており、価格低下に歯止めがかからない。
,,▲,スーパー（店長）,・９月に大型店舗の進出、11月に大型店の増床があり、売上は大型店同士のパイの取り合いとなっている。
,,▲,スーパー（店長）,・依然として単価が回復しておらず、灯油価格の高騰による影響、優勝セール後の反動が出る｡
,,▲,コンビニ（店長）,・弁当の販売数量が減少している。
,,▲,その他専門店［医薬品］（経営者）,・同業者の出店が進み、安売りが増えて厳しくなる。
,,▲,高級レストラン（スタッフ）,・11月後半に大型スーパーの増床、オープンがあるが、期待できる案件はこれだけで、全体的には消費が冷え込み傾向にある。
,,▲,観光型ホテル（スタッフ）,・予約申込が遅くなってきている。
,,▲,タクシー運転手,・生命保険や大型デパートの倒産でムード的に悪い影響が出る。
,,▲,設計事務所（所長）,・今のところ受注に関する話がなく、冬期に向かって仕事量も減少する。
,,▲,住宅販売会社（営業担当）,・住宅金融公庫の金利が上昇基調にあり、住宅ローン減税も新鮮味が薄れている。
,,×,百貨店（売場主任）,・消費者に生命保険会社、百貨店の閉鎖、人員削減、ボーナスに対する不安がある。
"企業
動向
関連

(北海道)",,◎,通信業（営業担当）,・最近、若干上向き傾向にあり、これは一過性のものではなく上向きに転じると好意的に判断している。
,,○,食料品製造業（団体役員）,・業界を取り巻く環境は厳しいが、原料の安定した確保が見込まれており、安価な製品に需要の増加がみられ、年末需要に期待が持てる。
,,□,金融業（企画担当）,・年末商戦がボーナスの下げ止まりで期待できるが、札幌そごうの閉店など、暗い材料もある。
,,□,その他企業［コンベンション担当］（従業員）,・景気が悪い悪いと世間でいわれているせいで、忘年会、新年会の予約状況が例年より悪い。
,,▲,輸送業（支店長）,・現在の多少の回復感は季節波動の要因が大きく、現在好調な鉄材、木材も需要減少期に入り、荷動きが減少する。
