Ⅱ．景気の先行きに対する判断理由,,,, ,
,,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,・今期の農作物の収穫量が良いことを期待している。,
,,◎,旅行代理店（従業員）,・行動制限がないことから、今年の夏の繁忙期は北海道の国内観光需要が新型コロナウイルス感染症発生前に近い水準まで回復することが期待できる。また、７月17日以降、新千歳空港の海外路線が２年ぶりに復便することから、インバウンドも回復の途に就くことが期待できる。ただ、現状、新型コロナウイルスオミクロン株の別系統による全国的な感染拡大が大きな懸念材料となっている。,
,,○,一般小売店［酒］（経営者）,・７月中旬以降、新型コロナウイルス新規感染者数が激増しており、その影響が懸念されるが、新型コロナウイルス感染症に対する人々の慣れもあり、特段大きな影響が出ていないことから、今後の景気はやや良くなる。,
,,○,百貨店（販売促進担当）,・今後、新規感染者数が爆発的に増え、行動制限が掛からない限り、客の購買行動は活発になる。,
,,○,百貨店（営業販促担当）,・新型コロナウイルス感染症に対する慣れもあり、客の動きは日を追うごとに改善している。今後、新規感染者が落ち着くことで衣料品を中心に動きが出てくることが見込める。,
,,○,スーパー（役員）,・食品の値上がりが継続しているため、値上げ前の買いだめ需要が発生しており、食料品に関する支出が活発になっている。,
,,○,乗用車販売店（従業員）,・当地は観光都市ということもあり、８月の観光シーズンを迎えることで身近な景気は一段と良くなる。,
,,○,その他専門店［医薬品］（経営者）,・家に籠もってばかりではいられないといった人の動きが感じられる。客足が戻ってきており、今後の景気はやや良くなる。,
,,○,高級レストラン（スタッフ）,・新型コロナウイルスの新規感染者数が増加していることが懸念材料であるが、行動制限が行われないとみられることから、今後も一定の来客数が見込める。,
,,○,旅行代理店（従業員）,・全ては新型コロナウイルスの感染状況次第であるが、景気は今よりも良くなることが期待できる。,
,,○,旅行代理店（従業員）,・夏休み明けの新型コロナウイルスの感染状況にもよるが、人流抑制策が行われなければ、景気は少しずつ回復することになる。,
,,○,タクシー運転手,・新型コロナウイルス感染症の第７波もピークを過ぎるとみられるため、多少は景気が良くなる。,
,,○,通信会社（企画担当）,・例年９月中旬に発売される人気端末による需要を期待している。ただし、前年発売の端末との差異が小さければ、需要の伸びが鈍化する恐れもあり、価格や性能の情報を９月まで待ちたい。,
,,○,観光名所（従業員）,・利用客の様子をみると、すっかり旅行を楽しんでいる表情を見せている。新型コロナウイルスの感染拡大におびえて委縮するのではなく、感染対策をしながら日常やレジャーの過ごし方のスキルアップを図っていると捉えることができる。こうしたムードは徐々に拡大することになり、人の行動も徐々に活発になると期待できる。,
,,□,商店街（代表者）,・新型コロナウイルス新規感染者数が増えてきているが、緊急事態宣言などが出されない限り、景気が悪くなることはない。,
,,□,商店街（代表者）,・一部の商材で値上がりなどの動きもみられるが、日々の客の反応は変わっていないことから、今後も景気は変わらない。,
,,□,商店街（代表者）,・新型コロナウイルスの感染状況が改善されない限り、景気が良くなるとは判断できない。また、２～３か月後は寒冷期に入ってくるため、燃料価格の高騰が継続していれば、一層の来街者数減少も懸念される。,
,,□,スーパー（店長）,・前年も７月後半～９月に掛けて、新型コロナウイルスデルタ株の出現とそれに伴う新規感染者数の急増によって、まん延防止等重点措置が適用されるなどしており、新型コロナウイルス感染症に左右される状況は今年も変わっていない。ただ、全体的には若干回復傾向での推移が見込まれる。,
,,□,スーパー（店長）,・前年は夏のまん延防止等重点措置及び緊急事態宣言が終わった後、年末年始まで比較的売上が堅調に伸びていた。こうした状況を踏まえると、前年と比べて景気が大きく上向く可能性は低い。,
,,□,スーパー（企画担当）,・食品などの再度の値上げと感染拡大している新型コロナウイルスが現在の活動的な雰囲気に水を差すことになる。消費は２極化するとみられる。,
