Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・外国人観光客、特に個人客の利用が増えている。直営の観光土産店では土産を両手に抱えて帰る客の姿も目立つ。過去の観光ブームで国内観光客が土産をたくさん買っていた風景を思い起こさせる。,
,,○,商店街（代表者）,販売量の動き,・全業種的に売上が安定し始めている様子がうかがえる。コロナ禍前にはまだ及ばないものの、近い数字が出るようになっており、安どしている。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・売上は2022年比で147.1％、2021年比で214.8％、2020年比で244.2％、コロナ禍前の2019年比で131.9％となっている。,
,,○,百貨店（売場主任）,来客数の動き,・シニア層や外国人観光客の来店が引き続き好調に推移している。,
,,○,スーパー（店長）,販売量の動き,・外出の機会が増えていることもあり、衣料品に関する指標が上向いている。特にアウターや服飾小物などの動きが良い。,
,,○,スーパー（店長）,来客数の動き,・11月の来客数は前年比104％となっており、２か月連続で伸びている。節約志向を踏まえてポイント付与企画を行っていることがプラスとなっている。,
,,○,スーパー（企画担当）,販売量の動き,・値上がりする商品数が減少していること、販売点数が以前よりも回復に向かっていること、来客数が前年並みであることなどから、景気は回復基調にある。,
,,○,スーパー（従業員）,単価の動き,・物価高の影響もあって客単価が上昇している。,
,,○,自動車備品販売店（店長）,単価の動き,・客の購買単価が上昇している。客は廉価品よりも質の良い商品を購入する傾向がみられる。,
,,○,高級レストラン（スタッフ）,来客数の動き,・少しずつではあるが、来客数が増えつつある。,
,,○,旅行代理店（従業員）,販売量の動き,・一部ではあるが、海外団体旅行が復活している。国内団体旅行も、沖縄、関西、九州を中心にコロナ禍前の2019年と同等の水準まで販売量が回復している。,
,,○,タクシー運転手,来客数の動き,・当社における11月のタクシーの売上は前年から12％の増加であった。日勤で前年から約16％の増加、夜勤で前年から約10％の増加であった。前年よりも乗務員が減り、タクシーの稼働も低下していることから、稼働状況を考慮すると、値上げした効果以上に売上が伸びている。,
,,○,タクシー運転手,販売量の動き,・冬季に入り、自転車を使用できなくなるなど、移動手段が限定されることもあって、タクシー利用に若干の増加がみられる。,
,,□,一般小売店［酒］（経営者）,販売量の動き,・11月に入り客先からの受注量が落ち込んでいる。例年11月はそうした傾向がみられるが、今年は例年よりも落ち込み幅が大きくなっている。,
,,□,百貨店（販売促進担当）,販売量の動き,・円安や物価高などの影響で、客の消費意欲が余り高いとはいえない状況が続いている。,
,,□,コンビニ（エリア担当）,来客数の動き,・商品の値上げの動きが落ち着き、商品単価の上昇に伴う売上増加も落ち着きつつある。来客数も維持できており、引き続き前年以上の売上となっている。,
,,□,コンビニ（エリア担当）,販売量の動き,・飲料や食料品など、目的買いの商品購入がほとんどであり、買上点数に伸びがみられない。おせちやクリマスケーキなどの予約商材も例年と比べて低調である。しばらくはこうした傾向が続くことになる。,
,,□,衣料品専門店（エリア担当）,来客数の動き,・11月は北海道としては気温が高く、降雪も少ない状況だった。これまでは必要な商品は買う傾向にあったが、冬らしくない気候が続いたことで冬物の動きが相当鈍くなっている。,
,,□,家電量販店（経営者）,販売量の動き,・エアコン、省エネ型給湯器など、省エネにつながるような商品の販売が好調であった。,
,,□,乗用車販売店（経営者）,販売量の動き,・販売量の動きに鈍さがみられる。車は高額商品となるため、個人需要については落ち着いた動きとなっている。法人需要についても、年末や年度末を控えて企業が資金調達に慎重となるタイミングであることから低調である。,
,,□,乗用車販売店（従業員）,販売量の動き,・サービス利用客が増えており、サービス部門の利益は確保できているものの、車の販売については、夏場の落ち込みがみられた後も落ち込んだままであり、現状も計画の８割を下回っている。車の納期がやや早くなっていることはプラスだが、全体的にみると厳しい状況にある。,
,,□,乗用車販売店（従業員）,販売量の動き,・ボーナスの支給額が微増することが見込まれるが、物価の上昇幅を大きく上回るわけではないため、現状維持が続いている。,
,,□,住関連専門店（役員）,販売量の動き,・前年からの減少幅が３か月前と同じような水準で推移している。,
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・燃料油価格激変緩和対策事業による取引価格への影響が不透明で、翌週の仕入価格が上昇するのか下降するのか、見極めができず、販売価格の設定が困難な状況となっている。,
,,□,高級レストラン（スタッフ）,販売量の動き,・10月よりも売上がやや減りそうだが、水準としてはほぼ変わらない。11月は遅い時間帯の予約が少なく、予約のない客の来店も少なかったため、少ないスタッフで店を回すことができ、時短営業を行える日も多かった。また、落ち着いた料理提供ができたことで、客やスタッフの雰囲気も良かった。地方の飲食店については、繁盛店でも混んでいるのは早い時間帯だけであり、夜は早じまいする店も多い。,
,,□,高級レストラン（スタッフ）,来客数の動き,・来客数が伸びている状況は変わっていないものの、日による繁閑の差が大きくなっている。,
,,□,スナック（経営者）,来客数の動き,・11月の状況は、９月や10月とほとんど変わらない。今後の景気が良くなるかは分からないが、今のところは現状維持で推移している。,
,,□,観光型ホテル（スタッフ）,販売量の動き,・販売量については、可もなく不可もなく安定しているが、見込みを下回っている。,
,,□,旅行代理店（従業員）,来客数の動き,・秋口の旅行需要は、北海道発の修学旅行需要が回復していることもあって、好調を維持している。航空需要全体でみると、コロナ禍前のほぼ100％に回復しているが、ビジネス需要の喪失分を旅行や生活需要でカバーする傾向が継続しており、景気動向としては夏季繁忙期と同様の状況にある。,
,,□,旅行代理店（従業員）,販売量の動き,・販売量が鈍化傾向にある。,
,,□,タクシー運転手,来客数の動き,・日中の利用客数に変化はみられない。夜間も飲食店帰りの客の利用に変化がみられない。観光客の利用は減少している。,
,,□,タクシー運転手,販売量の動き,・コロナ禍前と比べると、８割以上の水準に回復しつつある。ただし、これから冬に向かい、利用が落ち込むことが懸念されるため、今後の動向を注視している。,
,,□,通信会社（エリア担当）,それ以外,・通信キャリアの方針が変わっていないため、景気も変わっていない。,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームを訪れる客の多くは、マンションを購入する意志が強く、購入したい部屋を具体的に決めていることも多い。商談に要する時間も比較的短い。,
,,□,住宅販売会社（従業員）,来客数の動き,・建築コストが高止まりしていることもあって、消費者の購入マインドが頭打ちとなっている。,
,,▲,商店街（代表者）,単価の動き,・物価高の影響で客の財布のひもが固くなっている。,
,,▲,商店街（代表者）,お客様の様子,・客から景気が良くないとの話を聞くことが多い。,
,,▲,一般小売店［土産］（経営者）,単価の動き,・全体的な値上げ傾向が続くなか、土産品においても前年から10％程度の値上げが行われている。一方、売上の増加幅は10％前後となっていることから、値上げ分を加味すると、ほぼ前年並みである。ただし、客１人当たりの購買点数は減っているため、若干ではあるが、買い控えが発生し始めている様子もうかがえる。,
,,▲,一般小売店（経営者）,来客数の動き,・業界全体的に通じることだが、来客数がとにかく少ない。,
,,▲,スーパー（店長）,来客数の動き,・数か月程と比べると、客の来店回数が減っており、来客数に落ち込みがみられるようになっている。ただし、客単価は上昇している。,
,,▲,衣料品専門店（経営者）,お客様の様子,・物価が高騰している一方で、実質賃金が目に見えて減少していることから、買い控えがみられる。,
,,▲,衣料品専門店（店長）,販売量の動き,・冬物商材の最盛期を迎える時期だが、冬物商材の動きがとても悪い。成人式関連の商材に対する客の反応も鈍く、毎月の売れ筋が崩れてしまっている。,
,,▲,家電量販店（店員）,販売量の動き,・暖房関連商材の販売台数が伸びてこない。,
,,▲,乗用車販売店（経営者）,競争相手の様子,・新型車効果がみられないなど、受注状況に弱さがみられ、前年を大きく下回っている。競合店の状況をみても同様である。,
,,▲,乗用車販売店（従業員）,販売量の動き,・新型車が発売されたにもかかわらず、３か月前と比べて受注量が減少している。メーカーの生産状況が回復し、受注残の車両が入庫してきたことで売上は増えているが、数か月先の売上の見通しは厳しくなりそうである。,
