Ⅱ．景気の先行きに対する判断理由,,,,,,,
,,,,,,,
　景気の先行きに対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(北海道)",,◎,旅行代理店（従業員）,・韓国、台湾、中国からの観光需要が好調を維持しているため、夏季の観光繁忙期を迎えて、インバウンドが増加すると期待している。また、半導体関連産業のビジネス需要も継続しているため、国内路線も堅調に推移することが見込まれる。,,,
,,○,一般小売店［土産］（経営者）,・売上が伸びていることから、今後の景気はやや良くなる。外国人観光客は、周辺の人気観光地の効果もあって、欧米系の客を中心に利用が増えている。ただし、消費額がそれほど多いわけではない。国内客は、大阪・関西万博の影響もあって減っている。また、日本の若者の様子から、景気の良さがうかがえると話す人もいる。,,,
,,○,一般小売店［酒］（経営者）,・夏場の繁忙期を迎えることもあり、今後の売上は期待できる。ただし、最近の状況から、消費が力強く上向くことまでは期待できない。,,,
,,○,スーパー（店長）,・年を追うごとに、猛暑対策商材の動き出しが早くなっている。客が商材を早めに購入する傾向がみられることから、これから２か月くらいは空調機器関連に動きが出てくると期待している。,,,
,,○,スーパー（企画担当）,・今後については、米の価格が下がることで販売量が伸びてくると期待できる。また、米の価格が下がることで、他の食材の購入につながることも期待できるため、景気は上向くことになる。,,,
,,○,コンビニ（エリア担当）,・今年の夏は猛暑が見込まれることから、飲料やアイス、氷など、夏によく売れる商材の販売量が増加すると見込まれる。また、米についても、価格が若干下がるとの話が出始めているため、売上が増えると期待できる。,,,
,,○,衣料品専門店（エリア担当）,・燃料油価格定額引下げ措置が行われること、近隣の自治体で、家計支援に向けて、商品券を配布する予定があることから、今後の景気は上向くことになる。,,,
,,○,家電量販店（経営者）,・気温の上昇に伴い、エアコンの販売量が増加すると期待できる。,,,
,,○,家電量販店（店員）,・今年の夏は暑くなるとみられていることから、エアコンなどの季節商材や冷蔵庫などの動きが良くなる。ただし、天候次第では今よりも景気が落ち込むことも懸念される。,,,
,,○,旅行代理店（従業員）,・宿泊代金が高止まりしているなか、グループ旅行に動きがみられ始めていることから、今後の景気はやや良くなる。,,,
,,○,タクシー運転手,・６月以降、当地ではイベント開催が続くことになる。観光客も増えてくる時期となるため、タクシーの利用はこれから夏にかけて増えると見込まれる。また、当社では、乗務員が順調に増えているため、会社の売上も増えると期待している。,,,
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,・現在の予約状況などから、前年よりも輸送量が若干増加すると見込まれる。,,,
,,○,住宅販売会社（経営者）,・金利の動きが落ち着いていることから、これから建築需要が上向いてくると期待している。,,,
,,□,商店街（代表者）,・これから観光客の増加する時期を迎えるが、当区域においてはプラスの影響はほぼないとみられる。また、３か月後は夏祭り後の月となり、周辺町村からの来街者や地域住民が外出を控えるとみられるため、売上の増加は期待できない。７月にオープンする予定の仮設商業ゾーンの効果は、現在のところ、未知数である。,,,
,,□,百貨店（販売促進担当）,・これから夏に向けて、様々なイベントが開催される予定であることから、道外客やインバウンドの入込が増加することになる。道外客やインバウンドの動向に左右される面はあるものの、しばらくの間は当地の景況感の落ち込み分を道外からの利用者で補う形が続くことになる。,,,
,,□,コンビニ（エリア担当）,・特にし好品の買い控えが進んでいることが、来客数の減少につながっており、今後もこうした状況は変わらない。これ以上、来客数が減らないように、何らかの対策を行っていくことが必要になっている。,,,
,,□,衣料品専門店（経営者）,・円安の影響で、物価や仕入原価が高騰している。今後も円安基調は変わらないとみられるため、景気も変わらない。,,,
,,□,乗用車販売店（経営者）,・客の購買意欲の低下や節約志向の強まりがみられるなか、国内外の様々な問題の先行きが見通せないことから、身の回りの景気が大きく変わることはない。,,,
